county_fips,county_name,population,adult_population,uninsured_places_pct,diabetes_pct,obesity_pct,high_blood_pressure_pct,smoking_pct,physical_inactivity_pct,poor_physical_health_pct,poor_mental_health_pct,depression_pct,svi_population,poverty_150_pct,unemployment_svi_pct,uninsured_svi_pct,disability_pct,single_parent_pct,no_vehicle_pct,no_internet_pct,svi_socioeconomic,svi_household,svi_minority_language,svi_housing_transportation,svi_overall,low_birth_weight_pct,uninsured_count,uninsured_chr_pct,primary_care_physicians_count,primary_care_physicians_rate,primary_care_physicians_ratio,mental_health_providers_count,mental_health_providers_rate,mental_health_providers_ratio,severe_housing_problems_pct,severe_housing_cost_burden_pct,children_in_poverty_pct,food_environment_index,broadband_access_pct,broadband_access_count,child_care_cost_burden_pct
28099,Neshoba,"28,673","20,727",11.6,16.7,42.0,45.4,23.3,37.7,17.8,19.7,23.3,28970,40.5,9.3,12.7,18.1,8.6,8.3,24.3,0.6296,0.716,0.4815,0.8519,0.716,9,3422,15,16.0,55.0,1812:01:00,40.0,139.0,720:01:00,15,9,28,6.4,78,8057,25
28003,Alcorn,"34,204","26,597",9.2,14.8,42.4,41.2,18.2,33.8,15.5,16.8,22.4,34717,32.2,6.4,13.6,22.7,6.1,7.7,26.4,0.642,0.4321,0.0494,0.679,0.5432,12,3772,14,15.0,44.0,2290:01:00,110.0,322.0,310:01:00,10,8,23,6.1,74,10586,25
28049,Hinds,"217,730","167,418",12.4,17.5,46.3,45.3,19.9,36.4,15.2,18.4,19.3,226541,33.6,7.8,12.5,14.6,11.5,7.2,13.2,0.5556,0.3704,0.9012,0.7901,0.6543,15,21861,13,199.0,89.0,1119:01:00,938.0,437.0,229:01:00,18,15,30,6.4,88,79227,29
28037,Franklin,"7,642","5,885",9.8,17.4,41.7,50.4,19.4,34.8,16.0,16.8,20.5,7690,37.9,2.6,10.9,24.2,11.4,3.3,17.2,0.1358,0.8148,0.3704,0.0,0.1605,13,812,14,1.0,13.0,7676:01:00,2.0,26.0,3805:01:00,10,9,25,5.1,82,2416,26
28113,Pike,"39,644","29,629",12.4,18.3,45.3,49.6,21.7,36.9,17.4,18.9,21.3,40098,40.8,7.2,12.7,18.9,8.8,6.8,22.4,0.7531,0.5926,0.7284,0.9136,0.8395,14,4491,15,15.0,38.0,2665:01:00,187.0,475.0,211:01:00,16,15,34,6.1,76,11504,29
28019,Choctaw,"8,037","6,355",8.1,16.5,41.3,48.2,18.4,33.5,15.3,15.9,20.1,8208,31.4,7.3,12.4,25.2,6.7,5.8,20.3,0.3457,0.3951,0.2346,0.0864,0.1975,12,773,13,1.0,12.0,8106:01:00,13.0,161.0,622:01:00,8,7,27,6.5,79,2725,24
28091,Marion,"24,050","18,536",11.2,16.8,43.9,48.0,21.6,34.1,16.6,18.5,21.8,24362,39.5,9.5,15.7,21.9,4.8,5.8,27.5,0.8148,0.4568,0.3333,0.5556,0.679,13,2682,14,9.0,37.0,2709:01:00,21.0,87.0,1154:01:00,18,16,27,6.4,80,7354,26
28101,Newton,"21,029","15,905",11.5,16.1,43.5,44.7,20.7,35.4,16.2,18.5,21.5,21275,34.4,4.3,14.3,20.9,6.9,5.5,30.0,0.2346,0.1852,0.4444,0.2346,0.1852,12,2139,13,3.0,14.0,7019:01:00,6.0,29.0,3503:01:00,10,7,24,6.1,69,5337,25
28147,Walthall,"13,761","10,679",10.5,17.5,41.3,50.4,20.1,33.8,16.0,16.9,20.6,13888,34.6,6.5,10.4,23.8,7.8,5.5,28.5,0.5309,0.8889,0.5432,0.2222,0.5802,11,1756,16,7.0,51.0,1977:01:00,1.0,7.0,13863:1,20,15,31,6.0,78,4229,25
28157,Wilkinson,"8,143","6,501",11.7,20.0,49.1,53.1,22.5,39.1,17.0,17.6,18.1,8531,41.3,6.3,9.8,24.3,13.5,6.8,29.2,0.4074,0.5185,0.8272,0.5679,0.5309,14,701,13,3.0,36.0,2772:01:00,3.0,37.0,2686:01:00,11,11,37,6.5,73,2510,34
28075,Lauderdale,"70,904","54,382",9.8,16.5,38.8,47.3,19.2,33.1,15.9,17.2,21.5,72741,36.1,5.5,9.9,17.9,10.8,9.8,18.6,0.4815,0.6296,0.5926,0.8642,0.6667,14,7157,13,73.0,101.0,988:01:00,254.0,360.0,278:01:00,17,15,33,5.3,83,23668,23
28083,Leflore,"26,570","19,181",15.2,20.6,45.3,52.9,24.6,43.2,19.3,20.6,20.6,27920,48.8,11.8,14.4,13.4,14.8,12.9,45.1,0.9383,0.5556,0.9259,0.7284,0.8889,15,2596,12,22.0,80.0,1253:01:00,142.0,538.0,186:01:00,19,17,39,4.8,60,5946,36
28079,Leake,"21,135","16,333",11.3,18.1,45.2,46.4,21.6,36.1,17.1,17.6,20.5,21335,34.6,6.0,15.9,23.3,8.1,8.9,29.0,0.5926,0.9012,0.6543,0.8025,0.7778,11,2571,16,5.0,24.0,4239:01:00,2.0,9.0,10629:1,11,7,30,6.0,74,5445,25
